Year (C11.2),Project Type,Project Name,Number of credits (metric tonnes CO2e),,,,
2016,Forests,Rimba Raya REDD+,68000,,,,
2016,Forests,Ashford Improved Forest Management,35000,,,,
2016,Forests,Mississippi Valley Restored Ecosystem,25000,,,,
2016,Other: Efficient stoves,Paradigm Kenya Cookstoves,46541,,,,
2016,Forests,Meru and Nanyuki Community Reforestation,12000,,,,
2016,Solar,India Solar Water Heating,40000,,,,
2016,Other: Energy efficient infrastructure,Restored Water Infrastructure,40000,,,,
2016,Forests,Lower Zambezi Community Conservation,20000,,,,
2016,Biomass energy,Bangkok Kamphaeng Saen LFG to Energy,11500,,,,
2016,Biomass energy,Ankara LFG to Energy,11500,,,,
2016,Forests,Valdivian Coastal Reserve,35000,,,,
2016,Other: Efficient stoves,Mongolia Energy Efficiency,10000,,,,
2016,Biomass energy,Sichuan Household Biodigester,10000,,,,
2016,Other: Efficient stoves,Improved Nepalese Cookstove Program,18000,,,,
2016,Solar,Selco Solar Power,30000,,,,
2016,Other: Efficient stoves,Guatemala water filtration and stoves,23020,,,,
2015,Forests,Valdavian,73000,,,,
2015,Other: Efficient Stoves,Improved Ghanaian Cook Stoves,18000,,,,
2015,Other: Efficient Stoves,Guatemala Water Treatment & Cook Stoves,14000,,,,
2015,Forests,Rimba Raya REDD+,52230,,,,
2015,Forests,Kasigau Corridor REDD+,46656,,,,
2015,Forests,Meru & Nanyuki Community Reforestation,32200,,,,
2015,Forests,Makira REDD+,53000,,,,
2015,Forests,Makira REDD+,73000,,,,
2015,Other: Efficient Stoves,Improved Mexican Cook Stoves,30006,,,,
2015,Other: Forests/Efficient Stoves ,Kulera Malawi Landscape REDD+ and Efficient Cookstoves,4439,,,,
2014,NA,NA,NA,,,,
2013,NA,NA,NA,,,,
2012,NA,NA,NA,,,,
2011,NA,NA,NA,,,,
2010,NA,NA,NA,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
